"continent","country","year","pop","lifeExp","gdpPercap"
"Africa","Tanzania",1992,26605473,50.44,825.682454
"Africa","Tanzania",1997,30686889,48.466,789.1862231
"Africa","Tanzania",2002,34593779,49.651,899.0742111
"Africa","Tanzania",2007,38139640,52.517,1107.482182
"Asia","Thailand",1992,56667095,67.298,4616.896545
"Asia","Thailand",1997,60216677,67.521,5852.625497
"Asia","Thailand",2002,62806748,68.564,5913.187529
"Asia","Thailand",2007,65068149,70.616,7458.396327
"Africa","Togo",1992,3747553,58.061,1034.298904
"Africa","Togo",1997,4320890,58.39,982.2869243
"Africa","Togo",2002,4977378,57.561,886.2205765
"Africa","Togo",2007,5701579,58.42,882.9699438
"Americas","Trinidad and Tobago",1992,1183669,69.862,7370.990932
"Americas","Trinidad and Tobago",1997,1138101,69.465,8792.573126
"Americas","Trinidad and Tobago",2002,1101832,68.976,11460.60023
"Americas","Trinidad and Tobago",2007,1056608,69.819,18008.50924
"Africa","Tunisia",1992,8523077,70.001,4332.720164
"Africa","Tunisia",1997,9231669,71.973,4876.798614
"Africa","Tunisia",2002,9770575,73.042,5722.895655
"Africa","Tunisia",2007,10276158,73.923,7092.923025
"Europe","Turkey",1992,58179144,66.146,5678.348271
"Europe","Turkey",1997,63047647,68.835,6601.429915
"Europe","Turkey",2002,67308928,70.845,6508.085718
"Europe","Turkey",2007,71158647,71.777,8458.276384
"Africa","Uganda",1992,18252190,48.825,644.1707969
"Africa","Uganda",1997,21210254,44.578,816.559081
"Africa","Uganda",2002,24739869,47.813,927.7210018
"Africa","Uganda",2007,29170398,51.542,1056.380121
"Europe","United Kingdom",1992,57866349,76.42,22705.09254
"Europe","United Kingdom",1997,58808266,77.218,26074.53136
"Europe","United Kingdom",2002,59912431,78.471,29478.99919
"Europe","United Kingdom",2007,60776238,79.425,33203.26128
"Americas","United States",1992,256894189,76.09,32003.93224
"Americas","United States",1997,272911760,76.81,35767.43303
"Americas","United States",2002,287675526,77.31,39097.09955
"Americas","United States",2007,301139947,78.242,42951.65309
"Americas","Uruguay",1992,3149262,72.752,8137.004775
"Americas","Uruguay",1997,3262838,74.223,9230.240708
"Americas","Uruguay",2002,3363085,75.307,7727.002004
"Americas","Uruguay",2007,3447496,76.384,10611.46299
"Americas","Venezuela",1992,20265563,71.15,10733.92631
"Americas","Venezuela",1997,22374398,72.146,10165.49518
"Americas","Venezuela",2002,24287670,72.766,8605.047831
"Americas","Venezuela",2007,26084662,73.747,11415.80569
"Asia","Vietnam",1992,69940728,67.662,989.0231487
"Asia","Vietnam",1997,76048996,70.672,1385.896769
"Asia","Vietnam",2002,80908147,73.017,1764.456677
"Asia","Vietnam",2007,85262356,74.249,2441.576404
"Asia","West Bank and Gaza",1992,2104779,69.718,6017.654756
"Asia","West Bank and Gaza",1997,2826046,71.096,7110.667619
"Asia","West Bank and Gaza",2002,3389578,72.37,4515.487575
"Asia","West Bank and Gaza",2007,4018332,73.422,3025.349798
"Asia","Yemen, Rep.",1992,13367997,55.599,1879.496673
"Asia","Yemen, Rep.",1997,15826497,58.02,2117.484526
"Asia","Yemen, Rep.",2002,18701257,60.308,2234.820827
"Asia","Yemen, Rep.",2007,22211743,62.698,2280.769906
"Africa","Zambia",1992,8381163,46.1,1210.884633
"Africa","Zambia",1997,9417789,40.238,1071.353818
"Africa","Zambia",2002,10595811,39.193,1071.613938
"Africa","Zambia",2007,11746035,42.384,1271.211593
"Africa","Zimbabwe",1992,10704340,60.377,693.4207856
"Africa","Zimbabwe",1997,11404948,46.809,792.4499603
"Africa","Zimbabwe",2002,11926563,39.989,672.0386227
"Africa","Zimbabwe",2007,12311143,43.487,469.7092981
